TIME, X, Y, Z
685352.02093, 0.455, 0.785, 9.638
685352.04058, -0.010, 0.823, 9.164
685352.06037, 0.043, 1.264, 9.825
685352.08041, -0.010, 1.067, 11.061
685352.10058, -0.115, 0.665, 11.568
685352.12019, -0.105, 0.727, 12.057
685352.14042, -0.220, 0.933, 11.003
685352.16054, 0.153, 1.000, 10.821
685352.18008, 0.407, 0.320, 12.066
685352.20058, 0.302, -0.374, 14.556
685352.22130, 0.426, -0.609, 15.260
685352.24030, 0.110, -0.475, 13.407
685352.26043, -0.192, -0.020, 10.735
685352.28006, -0.192, 0.253, 8.786
685352.30005, -0.522, 0.047, 8.370
685352.32054, -0.776, 0.229, 9.021
685352.34130, -0.675, 0.445, 9.447
685352.35979, -0.603, -0.063, 8.834
685352.38000, -0.737, 0.153, 8.355
685352.39989, -0.498, 0.363, 8.030
685352.42006, -0.522, 0.402, 7.709
685352.44137, -0.450, 0.540, 7.804
685352.46160, -0.211, 0.699, 7.862
685352.47957, -0.057, 0.857, 7.058
685352.49987, -0.297, 0.655, 6.943
685352.51973, -0.283, 0.631, 6.617
685352.54085, -0.105, 0.842, 7.077
685352.55994, 0.053, 0.804, 7.958
685352.57941, -0.326, 0.670, 8.178
685352.59942, -0.306, 0.689, 7.488
685352.61975, -0.474, 0.986, 7.110
685352.63956, -0.594, 1.077, 7.781
685352.65951, -0.570, 1.029, 8.733
685352.67943, -0.196, 1.192, 9.820
685352.69981, -0.038, 0.995, 9.418
685352.71917, -0.287, 0.852, 9.136
685352.73927, -0.618, 0.933, 10.189
685352.75910, -0.718, 0.780, 11.717
685352.77893, -0.484, 0.612, 12.684
685352.79891, -0.570, 1.015, 11.501
685352.81901, -0.637, 1.230, 10.314
685352.83887, -0.254, 1.225, 10.979
685352.85896, -0.019, 0.737, 11.295
685352.87866, 0.527, 0.363, 11.693
685352.89860, 0.393, 0.167, 11.578
685352.91922, 0.196, -0.269, 11.295
685352.93870, 0.086, -0.470, 11.065
685352.95967, -0.129, -0.283, 10.452
685352.97852, -0.230, -0.139, 9.887
685352.99854, -0.378, -0.092, 9.461
685353.01844, -0.287, -0.331, 9.586
685353.04037, -0.450, -0.374, 9.998
685353.05964, -0.192, -0.278, 9.978
685353.07845, -0.043, 0.033, 9.260
685353.09852, -0.067, 0.167, 8.695
685353.11830, 0.038, 0.172, 8.609
685353.13826, -0.129, 0.229, 8.312
685353.15858, 0.081, 0.631, 7.642
685353.17838, 0.110, 0.818, 6.971
685353.19815, -0.120, 0.603, 6.689
685353.21844, 0.211, 0.756, 7.029
685353.23804, 0.153, 0.775, 7.632
685353.25882, 0.158, 0.828, 7.862
685353.27845, 0.622, 0.794, 7.728
685353.29788, 0.469, 0.579, 7.340
685353.31849, 0.273, 0.756, 7.120
685353.34101, 0.311, 0.746, 7.838
685353.35804, 0.498, 0.766, 8.346
685353.37799, 0.407, 1.149, 8.212
685353.39801, 0.393, 1.254, 8.341
685353.41768, 0.091, 1.297, 9.035
685353.43830, -0.048, 1.096, 10.218
685353.45768, 0.426, 1.034, 10.946
685353.47745, 0.316, 1.254, 11.295
685353.49734, 0.201, 1.560, 10.874
685353.51741, 0.254, 1.407, 11.223
685353.53753, 0.345, 1.129, 11.793
685353.55712, 0.249, 0.756, 12.411
685353.57732, 0.038, 0.521, 11.875
685353.59715, 0.144, 0.675, 11.487
685353.61710, -0.029, 0.579, 10.706
685353.63753, 0.043, 0.478, 10.429
685353.65697, 0.062, 0.421, 10.462
685353.67789, -0.172, 0.263, 10.601
